gene_id,mean_disease,mean_control,sd_disease,sd_control,log2FC,test_statistic,pvalue,padj,significant,gene_name,biotype
TUSC7,0.2471572955438104,0.0,0.5007973895713003,0.0,0.2471572955438104,5.942858353708702,2.0169112583500863e-08,0.00012468545399120233,True,TUSC7,lncRNA
MAPK8IP1P2,3.512619726248232,1.5892904664338985,2.7487998055205822,0.9032761759787244,1.9233292598143337,6.078933723113876,8.373033129215473e-08,0.00024063269829604768,True,MAPK8IP1P2,processed_pseudogene
LINC02560,0.23725440854819943,0.0,0.5153513070438256,0.0,0.23725440854819943,5.543638602871764,1.3731382728497859e-07,0.00024063269829604768,True,LINC02560,lncRNA
CHRM3-AS1,0.24114762413253596,0.0,0.5263460841248727,0.0,0.24114762413253596,5.516906102324258,1.556989312818167e-07,0.00024063269829604768,True,CHRM3-AS1,lncRNA
AGBL1-AS1,0.24169357065736807,0.0,0.546736706042503,0.0,0.24169357065736807,5.323176508896157,3.828362276410861e-07,0.00047333871185543887,True,AGBL1-AS1,lncRNA
FILNC1,0.2166711520585766,0.0,0.5054770602851967,0.0,0.2166711520585766,5.161591642827803,7.986347929641426e-07,0.0008228600483507217,True,FILNC1,lncRNA
CATIP-AS2,0.1802442978105738,0.0,0.44627701586713975,0.0,0.1802442978105738,4.863411473604063,2.9871091394217444e-06,0.0026380440999864605,True,CATIP-AS2,lncRNA
MIR127,2.0188232506138055,3.047282435468546,1.0594300863132193,0.6465341232417913,-1.0284591848547406,-5.719911078823634,4.23471524630046e-06,0.0032723762065786804,True,MIR127,miRNA
KRT17P5,0.1837398836676026,0.0,0.4735676759645503,0.0,0.1837398836676026,4.672027461699798,6.780834051328273e-06,0.00465767956725682,True,KRT17P5,transcribed_unprocessed_pseudogene
LINC02269,0.18193751296016986,0.0,0.47557140316999114,0.0,0.18193751296016986,4.606706280354362,8.925585487769286e-06,0.005517796948538973,True,LINC02269,lncRNA
LINC00911,0.20246815218927017,0.0,0.5356084118628363,0.0,0.20246815218927017,4.551906485749455,1.1217616030778441e-05,0.006030563202968823,True,LINC00911,lncRNA
TLR8-AS1,0.16547989535243218,0.0,0.4413244510539644,0.0,0.16547989535243218,4.515140291946587,1.306327061238901e-05,0.006030563202968823,True,TLR8-AS1,lncRNA
LINC00551,3.407187460617454,4.2699218632144476,1.496777739948901,0.5369398207920097,-0.8627344025969936,-4.792249661869883,1.3520347380377447e-05,0.006030563202968823,True,LINC00551,lncRNA
FTCD-AS1,0.1889144029118239,0.0,0.5055119297848691,0.0,0.1889144029118239,4.50005334379923,1.3902490372073397e-05,0.006030563202968823,True,FTCD-AS1,lncRNA
MIR567,0.1702047789530346,0.0,0.4583816137966126,0.0,0.1702047789530346,4.471245970251323,1.5651470574519004e-05,0.006030563202968823,True,MIR567,miRNA
LINC01028,0.16152530750260172,0.0,0.4354402859998437,0.0,0.16152530750260172,4.466794482956466,1.5939971510978813e-05,0.006030563202968823,True,LINC01028,lncRNA
CFAP44-AS1,0.1851351905193978,0.0,0.5001692157763877,0.0,0.1851351905193978,4.4571373770806595,1.658356105636849e-05,0.006030563202968823,True,CFAP44-AS1,lncRNA
SYT14P1,0.16061023994296786,0.0,0.4427401169768257,0.0,0.16061023994296786,4.3682587604705425,2.380674106688959e-05,0.008176292959750637,True,SYT14P1,transcribed_processed_pseudogene
LINC01342,0.15846430845999543,0.0,0.4408552209887829,0.0,0.15846430845999543,4.328321105972571,2.7961151282262463e-05,0.009097675643523503,True,LINC01342,lncRNA
LINC00293,0.15480716506812908,0.0,0.43247125622173993,0.0,0.15480716506812908,4.310402351195333,3.0043741837888854e-05,0.009286520602091446,True,LINC00293,lncRNA
FAM172BP,0.15109972053540455,0.0,0.4244016203998957,0.0,0.15109972053540455,4.287169247708662,3.296656731316203e-05,0.009704729482379413,True,FAM172BP,processed_pseudogene
MIR1324,0.3902322577443598,0.05257416973605439,0.6545162395628197,0.21676885500090362,0.33765808800830543,4.4651631068554885,3.537302222388682e-05,0.009939819244912197,True,MIR1324,miRNA
LINC01960,0.14502127886729682,0.0,0.4105409786045685,0.0,0.14502127886729682,4.253625183419228,3.767237278408682e-05,0.010125678632661943,True,LINC01960,lncRNA
HERC2P4,5.156645418849928,6.134672398456969,0.919808390567709,0.7289902654486204,-0.9780269796070407,-5.0779908596413,4.121423081399279e-05,0.010616098953837643,True,HERC2P4,transcribed_unprocessed_pseudogene
EFCAB14-AS1,0.1639927512093116,0.0,0.4721618952699181,0.0,0.1639927512093116,4.182324418183715,4.990609539082299e-05,0.012340779268242707,True,EFCAB14-AS1,lncRNA
MIR6878,2.214380911031437,2.8826054079615098,0.9645053568096563,0.4936275469778729,-0.6682244969300726,-4.638985010626272,5.387421661126359e-05,0.012809631041955058,True,MIR6878,miRNA
IGSF11-AS1,0.1340164159049306,0.0,0.3898712112029397,0.0,0.1340164159049306,4.139242141656798,5.905469148631427e-05,0.01352133713957018,True,IGSF11-AS1,lncRNA
LINC00395,0.18510395047278194,0.0,0.5397136763829113,0.0,0.18510395047278194,4.1298688991247925,6.124757797342417e-05,0.013522590251132435,True,LINC00395,lncRNA
ZMIZ1-AS1,5.466694151861718,6.091163857568314,0.6768757306052169,0.48884797655034906,-0.6244697057065958,-4.75919574415068,7.762312936608043e-05,0.016547109853141697,True,ZMIZ1-AS1,lncRNA
FAAHP1,3.483416102648527,4.2416795488228916,1.0961713740112893,0.591085467343995,-0.7582634461743645,-4.4651094141963705,9.915723857083985e-05,0.02013869131100919,True,FAAHP1,transcribed_unprocessed_pseudogene
SDHAP2,8.834677985448469,9.368176887345427,0.5009605843153401,0.4293669075005369,-0.5334989018969587,-4.7574633927067485,0.0001009866435848083,0.02013869131100919,True,SDHAP2,transcribed_unprocessed_pseudogene
MIR5696,0.13306691427473386,0.0,0.4017714650132506,0.0,0.13306691427473386,3.988182270471619,0.00010553061028146551,0.020387194773750617,True,MIR5696,miRNA
SNORD3J,0.14509582422080225,0.0,0.44023159495728165,0.0,0.14509582422080225,3.9687862260593816,0.00011357261972382208,0.020986175902263975,True,SNORD3J,snoRNA
MIR1914,2.724272225282466,3.62139153127805,1.024150115112326,0.7254199905104223,-0.897119305995584,-4.590744946865043,0.00011542057273972422,0.020986175902263975,True,MIR1914,miRNA
RPL29P2,0.5520574380602015,1.5818265446841149,0.8192085912914339,0.845695961732957,-1.0297691066239134,-4.765255147915837,0.00012293693740798062,0.02171417563017532,True,RPL29P2,transcribed_processed_pseudogene
NAALADL2-AS2,0.14778150632505135,0.0,0.45501330516147576,0.0,0.14778150632505135,3.9109295601322627,0.00014117617702251393,0.024121484734800226,True,NAALADL2-AS2,lncRNA
SNORA67,4.001665326860203,4.552105908377316,0.5790385755599297,0.45603644526211623,-0.5504405815171127,-4.563958053885729,0.00014436993451756849,0.024121484734800226,True,SNORA67,snoRNA
DGCR11,5.81403166817975,6.152841296552805,0.4354271523670936,0.27933202398884716,-0.3388096283730553,-4.411916125458179,0.0001566258787587023,0.02548055743384994,True,DGCR11,lncRNA
LZTS1-AS1,0.11545590015647743,0.0,0.3591703613249907,0.0,0.11545590015647743,3.8707902742449627,0.00016395951346080836,0.025989684928582495,True,LZTS1-AS1,lncRNA
MIR548AO,0.13385841134621193,0.0,0.4173090708133181,0.0,0.13385841134621193,3.862529796562604,0.00016906324523946272,0.026128724551758964,True,MIR548AO,miRNA
MIR4496,0.11556398964910146,0.0,0.36115893754315515,0.0,0.11556398964910146,3.853081196684905,0.00017508615001778657,0.026360688013465052,True,MIR4496,miRNA
SLC25A25-AS1,6.731377277673542,7.404402390852263,0.6771116307228316,0.5698536104796398,-0.6730251131787206,-4.510563797126684,0.00017909234819888907,0.026360688013465052,True,SLC25A25-AS1,lncRNA
MIR100HG,11.323635105852892,11.03986674314853,0.2808403226352187,0.24170511142953974,0.2837683627043628,4.497753765291245,0.0001896579038970118,0.026382060990559383,True,MIR100HG,lncRNA
STRCP1,3.9088266995493437,4.791885897007801,1.186949540099897,0.7388934563042083,-0.8830591974584574,-4.317546677281498,0.00019178085345749718,0.026382060990559383,True,STRCP1,transcribed_unprocessed_pseudogene
MIR450A2,0.13277897923609128,0.0,0.41916368408412946,0.0,0.13277897923609128,3.814430250655936,0.00020191307627049552,0.026382060990559383,True,MIR450A2,miRNA
MIR1203,0.12680673899039685,0.0,0.4003601936760175,0.0,0.12680673899039685,3.8139539467221524,0.00020226681540547295,0.026382060990559383,True,MIR1203,miRNA
MIR494,2.540087507827296,3.1688557502428982,0.9730636614036264,0.5192071666615895,-0.6287682424156023,-4.202313174914812,0.00020449393432304982,0.026382060990559383,True,MIR494,miRNA
SNORD36B,1.6936853318729637,2.187503473261627,0.7582258490139062,0.4084011867678795,-0.49381814138866353,-4.2072981720739175,0.00020484291937024432,0.026382060990559383,True,SNORD36B,snoRNA
SNORD116-16,4.538248876739065,5.077112617899392,0.6790670737392177,0.4583720227521219,-0.538863741160327,-4.322776330935326,0.00021380661508993453,0.026659996809175208,True,SNORD116-16,snoRNA
MIR7150,2.2624905053683997,2.9746562644890386,0.9702454928146711,0.6018173213228247,-0.712165759120639,-4.2715017427066915,0.00021562598519229382,0.026659996809175208,True,MIR7150,miRNA
MIR7161,3.95850703789885,4.690577767196911,0.6707779471013062,0.6351898109479339,-0.7320707292980608,-4.468803680184519,0.00022496723221742177,0.026918380128561126,True,MIR7161,miRNA
MIR181B1,1.698956512552642,0.5995294872957112,1.1011589862793343,0.9536655842952539,1.0994270252569307,4.420358403648717,0.0002301411943833398,0.026918380128561126,True,MIR181B1,miRNA
MIR4536-1,0.11383374935780799,0.0,0.362826612382167,0.0,0.11383374935780799,3.777947406202869,0.00023077873613939494,0.026918380128561126,True,MIR4536-1,miRNA
TFAMP1,2.8835494956847487,3.813701949193405,0.9264434329581982,0.8101698895899616,-0.9301524535086565,-4.407879685373631,0.00023965644008404346,0.0274362243073992,True,TFAMP1,processed_pseudogene
MIR6835,1.461126588626076,2.0521612282527304,0.8513165033188903,0.505855369371384,-0.5910346396266544,-4.17397572621424,0.00026242704335645295,0.02949679967326531,True,MIR6835,miRNA
MIR6859-4,4.305790085146803,5.039288562383945,0.8218272011175588,0.6442657295933516,-0.7334984772371413,-4.301743984922962,0.0002744339832673104,0.029807372847580324,True,MIR6859-4,miRNA
ID2-AS1,6.210471703354272,5.709283591360537,0.6770998301365329,0.4341704239891632,0.5011881119937351,4.198449270056449,0.00027483342806730485,0.029807372847580324,True,ID2-AS1,lncRNA
NFIA-AS1,0.10049067533147904,0.0,0.32614613300436307,0.0,0.10049067533147904,3.7102018047674563,0.0002950505235640521,0.031448316149533966,True,NFIA-AS1,lncRNA
MT1IP,0.12492699366390611,0.0,0.40659782483259366,0.0,0.12492699366390611,3.6997743661503275,0.0003063352295588917,0.032083768225559674,True,MT1IP,transcribed_unprocessed_pseudogene
SNORD116-17,2.757765963817501,3.328979636483121,0.793293972129057,0.5001981596588686,-0.5712136726656198,-4.137747235668883,0.0003150176638532882,0.032083768225559674,True,SNORD116-17,snoRNA
SLC12A5-AS1,3.478494502586067,4.011226659457278,0.764025929216696,0.46556269170521425,-0.5327321568712109,-4.113095787512803,0.0003206212517102454,0.032083768225559674,True,SLC12A5-AS1,lncRNA
LINC00364,0.11312375628149673,0.0,0.3696982537991891,0.0,0.11312375628149673,3.684600607044793,0.0003234881169937,0.032083768225559674,True,LINC00364,lncRNA
PRSS46P,1.1338999742442148,2.1227637394465395,0.9369119769279647,0.8896353202202224,-0.9888637652023247,-4.311250851687258,0.00032696172730673883,0.032083768225559674,True,PRSS46P,transcribed_unitary_pseudogene
LINC00106,3.014612534084397,3.849552945615026,1.066995600432274,0.7411605096837452,-0.8349404115306287,-4.166146284414114,0.0003327875300476577,0.032145195480540935,True,LINC00106,lncRNA
FAM27E5,0.11309961463727009,0.0,0.3709692869140693,0.0,0.11309961463727009,3.671192614916171,0.0003393971192587547,0.03227927678857879,True,FAM27E5,lncRNA
LINC01744,0.1150221332497622,0.0,0.3789396051748841,0.0,0.1150221332497622,3.65506766056361,0.00035950968298625353,0.033674073639712414,True,LINC01744,lncRNA
LINC00415,0.12465277645234797,0.0,0.4119681756612115,0.0,0.12465277645234797,3.643529490477893,0.00037458678869442384,0.03456261981655117,True,LINC00415,lncRNA
MIR6860,0.1239316580897772,0.0,0.4112510654086248,0.0,0.1239316580897772,3.6287681849815923,0.0003947473134616771,0.035887174879707176,True,MIR6860,miRNA
MIR30D,0.44279495531070856,0.07616614682234944,0.6684354550078668,0.3140410684448497,0.3666288084883591,3.890039698302242,0.00041024992443659765,0.03675601496908763,True,MIR30D,miRNA
LINC00163,0.12476316403629674,0.0,0.41578826800799534,0.0,0.12476316403629674,3.613251155185446,0.0004170419390414955,0.03683076095935036,True,LINC00163,lncRNA
TFAP2A-AS2,2.4134538022270933,1.4633555771341904,1.0176060151365516,0.8755904451424751,0.9500982250929029,4.156910505259994,0.00043146190279974393,0.03756757018461996,True,TFAP2A-AS2,lncRNA
MIR431,1.8187828949938287,2.726493373834204,1.1502434127919243,0.831788868085158,-0.9077104788403754,-4.066611133781838,0.00044982765879411407,0.0386227025925724,True,MIR431,miRNA
SNORD56,1.9800647260846729,2.6227887019945157,0.938265557410108,0.5825556442820503,-0.6427239759098429,-3.9833759208345203,0.00046404254572608814,0.03929741120107776,True,SNORD56,snoRNA
MEG9,4.978247820063673,5.734240662851482,1.1060391973006383,0.6888404915259565,-0.7559928427878093,-3.965282822413825,0.0004886269206970536,0.039915499881707284,True,MEG9,lncRNA
MIR1302-11,0.10468116261884947,0.0,0.35338370856405654,0.0,0.10468116261884947,3.5670238603099644,0.0004907114187980837,0.039915499881707284,True,MIR1302-11,miRNA
MIR1302-2,0.10468116261884947,0.0,0.35338370856405654,0.0,0.10468116261884947,3.5670238603099644,0.0004907114187980837,0.039915499881707284,True,MIR1302-2,miRNA
LINC01629,0.12341035220087214,0.0,0.4195869677287438,0.0,0.12341035220087214,3.541714929977477,0.000536075417713196,0.04303919782211659,True,LINC01629,lncRNA
LINC01996,0.10588081117204269,0.0,0.36085727942469126,0.0,0.10588081117204269,3.5331802197258413,0.0005522433997754097,0.043768829453994657,True,LINC01996,lncRNA
CACNA1C-AS4,0.10616532827327366,0.0,0.36357155744825687,0.0,0.10616532827327366,3.5162262151738783,0.0005857313831871073,0.04519342252235324,True,CACNA1C-AS4,lncRNA
MIR3180-5,1.1322569796659254,1.9211201333778472,0.891071805400185,0.7494440900080531,-0.7888631537119217,-4.019629337963319,0.0005888022451147316,0.04519342252235324,True,MIR3180-5,miRNA
LRRC2-AS1,0.11776513856465448,0.0,0.40365703764579963,0.0,0.11776513856465448,3.513081457420796,0.0005921493407166957,0.04519342252235324,True,LRRC2-AS1,lncRNA
LINC01271,0.10598456756211569,0.0,0.3643633090256449,0.0,0.10598456756211569,3.50261171357897,0.0006139963314424795,0.04628933318265132,True,LINC01271,lncRNA
GUSBP1,9.314898545047265,9.001430604753958,0.7010740172406515,0.2614061387500028,0.3134679402933074,3.641706500929368,0.0006389699954535315,0.04759171701076785,True,GUSBP1,transcribed_unprocessed_pseudogene
FTH1P3,3.4799947878091078,4.305254073245433,0.7998747474329173,0.8056288389316737,-0.8252592854363257,-3.998811723078589,0.0007123613832211997,0.05242640560801734,False,FTH1P3,processed_pseudogene
SDAD1P1,6.731343952395772,6.222843400988057,0.5541872774728783,0.49589184076373616,0.5085005514077148,3.948715018971441,0.0007355418442294447,0.05327591346636767,False,SDAD1P1,transcribed_processed_pseudogene
LINC00652,4.903693432927416,4.391219164461248,0.7486657876267246,0.4900245104418886,0.5124742684661685,3.820770008207934,0.0007545095753051289,0.05327591346636767,False,LINC00652,lncRNA
MIR539,1.8943706704953163,2.5851732898507933,1.0589938598200057,0.6567262299270471,-0.690802619355477,-3.796752384735831,0.0007570774695351822,0.05327591346636767,False,MIR539,miRNA
LINC02395,2.352069531702684,3.210114464244956,1.1444360533603213,0.8291848827756374,-0.8580449325422723,-3.85753619601386,0.000762861709715735,0.05327591346636767,False,LINC02395,lncRNA
MIR374A,2.363168639245704,2.808481152683426,0.884289696831168,0.40046595657322415,-0.44531251343772205,-3.6571625854224306,0.000766993901408399,0.05327591346636767,False,MIR374A,miRNA
LIPE-AS1,5.935412596005409,6.386481782171168,0.5414211343816353,0.442658883557358,-0.45106918616575875,-3.8753134365308957,0.0008154721549823356,0.05587606372208955,False,LIPE-AS1,lncRNA
SCARNA21B,2.5327898620450173,3.1355317586107097,0.7687986957568941,0.5895916987502664,-0.6027418965656923,-3.8488640571755797,0.0008225043349579666,0.05587606372208955,False,SCARNA21B,scaRNA
MIR4638,0.0918962341199091,0.0,0.3247200994326776,0.0,0.0918962341199091,3.407787804090475,0.0008494120006038363,0.05648076832352715,False,MIR4638,miRNA
MIR4492,0.09710621480128272,0.0,0.34313915162659403,0.0,0.09710621480128272,3.407695286810698,0.0008496783329162124,0.05648076832352715,False,MIR4492,miRNA
WASH7P,8.269551456013694,8.78650819441218,0.5490715611360263,0.5143733511762528,-0.5169567383984859,-3.891990122853784,0.0008707603804147293,0.05726639012472188,False,WASH7P,unprocessed_pseudogene
USP2-AS1,5.491834275022095,5.975913880737535,0.767983021673334,0.46605631546278325,-0.48407960571543995,-3.7298140870956966,0.0008812172693397364,0.05734405430587632,False,USP2-AS1,lncRNA
DANT2,8.894925777805703,9.154463137484456,0.3844844424544536,0.2533383593896077,-0.25953735967875247,-3.7481226212230174,0.0009158441968206534,0.05897655025776333,False,DANT2,lncRNA
GRID1-AS1,0.09223503068482451,0.0,0.3285078240025597,0.0,0.09223503068482451,3.380914438922069,0.0009301500907437837,0.05928028722657805,False,GRID1-AS1,lncRNA
LRP5L,5.944163502981607,6.384161732542031,0.5443820572450021,0.43855797525319684,-0.4399982295604241,-3.8070454020107136,0.0009511071892283614,0.05980075985623509,False,LRP5L,transcribed_unprocessed_pseudogene
SLX1B-SULT1A4,6.2538081362229025,6.7192901003843595,0.7738621820095272,0.4500739847037688,-0.46548196416145693,-3.6747058982035616,0.0009736062882336092,0.05980075985623509,False,SLX1B-SULT1A4,lncRNA
SRGAP2D,9.788557868211608,9.574993783080352,0.3448942668003914,0.20779667721532555,0.21356408513125658,3.684151127713487,0.00098588483772735,0.05980075985623509,False,SRGAP2D,unprocessed_pseudogene
PIP5K1P1,0.08920549474788633,0.0,0.31943375656620515,0.0,0.08920549474788633,3.362751681292648,0.0009887279800001242,0.05980075985623509,False,PIP5K1P1,processed_pseudogene
PTOV1-AS2,4.625644620034306,5.312671193137312,0.8188508610730527,0.6895614759789785,-0.6870265731030063,-3.8054064155228398,0.000989404022558489,0.05980075985623509,False,PTOV1-AS2,lncRNA
OR4F13P,0.10121003602498113,0.0,0.362865701135131,0.0,0.10121003602498113,3.3586261178868795,0.0010025061697158787,0.05980075985623509,False,OR4F13P,transcribed_unprocessed_pseudogene
MIR6859-3,1.4929456335637978,2.1549257174175636,0.9974722279348535,0.6519716060940521,-0.6619800838537657,-3.70837289916962,0.0010060302531621562,0.05980075985623509,False,MIR6859-3,miRNA
LINC00265,7.481574094949442,7.97808625687743,0.5305616075347535,0.5042144678637417,-0.4965121619279875,-3.819755353715989,0.001042544057388986,0.060894447873009516,False,LINC00265,lncRNA
SNORD116-11,3.743508865851243,4.180823397370773,0.6380978493770479,0.43425651516585145,-0.4373145315195299,-3.7091297535390924,0.0010441299699998395,0.060894447873009516,False,SNORD116-11,snoRNA
MIR943,4.599286985103656,4.936397744049882,0.5312343458830365,0.3326938375024271,-0.3371107589462259,-3.665726944412674,0.001076231926894171,0.06218005394448379,False,MIR943,miRNA
AQP7P1,5.164740053787291,6.182394127059494,1.0499420245341986,1.0407388066656573,-1.0176540732722028,-3.810701805179618,0.0010936844854978662,0.06260331008655379,False,AQP7P1,unprocessed_pseudogene
NSUN5P1,7.273697434484175,7.7533212671397775,0.5349389170357203,0.4897431535995116,-0.4796238326556024,-3.7820517193524257,0.0011115945539384579,0.06277294760333638,False,NSUN5P1,transcribed_unprocessed_pseudogene
TNFRSF14-AS1,2.9393081979353615,3.5035650379504784,1.03517375989977,0.5440051292386594,-0.5642568400151169,-3.5831379908310987,0.0011169563630486902,0.06277294760333638,False,TNFRSF14-AS1,lncRNA
MIR29B2CHG,8.82051338481461,9.155303132494309,0.563830034688048,0.32891723727273414,-0.3347897476796984,-3.6193257498877216,0.0011308757884219518,0.06298264976598654,False,MIR29B2CHG,lncRNA
LINC01405,0.09419322131514314,0.0,0.3443791519552191,0.0,0.09419322131514314,3.2935692439793782,0.0012449499086720902,0.06847842471868117,False,LINC01405,lncRNA
TMEM220-AS1,4.694839887537297,5.3160316699869705,0.7530551501109881,0.6414646644110398,-0.6211917824496735,-3.7046976007276444,0.0012714084762750083,0.06847842471868117,False,TMEM220-AS1,lncRNA
TNRC18P1,4.480970256364334,5.109804925067431,0.7725636973080781,0.6494032848616278,-0.6288346687030968,-3.6975199726245944,0.0012812837306313998,0.06847842471868117,False,TNRC18P1,processed_pseudogene
SH3GL1P2,2.9683099297733353,4.242920607528926,1.8097626427547608,1.3010403602589717,-1.2746106777555903,-3.646826950045748,0.001282787339593236,0.06847842471868117,False,SH3GL1P2,processed_pseudogene
SNORD115-22,5.047266287293012,5.713543928524361,0.8359209079044431,0.6873343589989708,-0.6662776412313489,-3.689662786503159,0.0012849397067885822,0.06847842471868117,False,SNORD115-22,snoRNA
MIR544A,2.3481064473952795,3.0201500753090436,1.1023809352291774,0.6757346653958289,-0.672043627913764,-3.579928681882223,0.001316537734549479,0.06859419600313826,False,MIR544A,miRNA
CACNA1C-AS1,2.3832773712798634,2.9884397048223814,0.9968019135527295,0.6081076620240548,-0.605162333542518,-3.578077532415552,0.0013168719313489863,0.06859419600313826,False,CACNA1C-AS1,lncRNA
PCAT6,3.8413866563950636,4.361981515015133,0.7057177607739127,0.5357884255514489,-0.5205948586200693,-3.651956090373338,0.0013248403434467939,0.06859419600313826,False,PCAT6,lncRNA
WDFY3-AS2,8.946256855179529,8.627004911116964,0.5097573544080052,0.3227571927049418,0.3192519440625645,3.5873578796935295,0.0013314952313776434,0.06859419600313826,False,WDFY3-AS2,lncRNA
NNT-AS1,9.732764544042004,9.462818351420454,0.3808833358098343,0.2778527215508842,0.26994619262154984,3.626200436417072,0.001366879860170012,0.06983513467414061,False,NNT-AS1,lncRNA
MKRN7P,4.5658731915166655,5.167454898278613,0.7627491465868882,0.6285604333953148,-0.6015817067619471,-3.6440895201729,0.0014366628550634079,0.07226253350904996,False,MKRN7P,transcribed_processed_pseudogene
CROCCP2,8.42160711910839,8.762978199543287,0.5147024735198412,0.3516421948441541,-0.3413710804348966,-3.5784064260556816,0.0014577769548594257,0.07226253350904996,False,CROCCP2,transcribed_unprocessed_pseudogene
PCDHB18P,7.454879500068897,7.7717424857276605,0.48466619350123086,0.32598188160996894,-0.31686298565876303,-3.5715839917630894,0.0014632658864493363,0.07226253350904996,False,PCDHB18P,transcribed_unprocessed_pseudogene
MIR4422,0.08820465913204761,0.0,0.3275122544390469,0.0,0.08820465913204761,3.2430076457684374,0.0014700416111989962,0.07226253350904996,False,MIR4422,miRNA
LINC01238,6.113835109628457,6.752397719379466,0.7125819463857559,0.6743014340192452,-0.6385626097510091,-3.6716038310349917,0.0014728371436655279,0.07226253350904996,False,LINC01238,lncRNA
MIR7-2,2.2764983992201353,2.9414119981562443,1.212478673270939,0.66872987472955,-0.664913598936109,-3.482965214623861,0.0015352254348840306,0.07295611655869606,False,MIR7-2,miRNA
MIR362,0.08181608280478557,0.0,0.3051203623897565,0.0,0.08181608280478557,3.2288769305460243,0.0015394147136982297,0.07295611655869606,False,MIR362,miRNA
ARHGAP27P1-BPTFP1-KPNA2P3,9.054458227866057,9.413046449385098,0.34399931424094665,0.3830864667855481,-0.3585882215190406,-3.6889980009222514,0.0015417990352713268,0.07295611655869606,False,ARHGAP27P1-BPTFP1-KPNA2P3,lncRNA
LINC01675,0.09587711280775892,0.0,0.35762422672902194,0.0,0.09587711280775892,3.228286104595933,0.0015423806159936152,0.07295611655869606,False,LINC01675,lncRNA
TTTY19,0.09012437955804575,0.0,0.3363740181086457,0.0,0.09012437955804575,3.226293298172215,0.0015524236154006426,0.07295611655869606,False,TTTY19,lncRNA
STX18-AS1,7.404197616345736,7.6054690734595285,0.3186087506655289,0.20790655483914747,-0.20127145711379235,-3.534487813220786,0.00156589940043146,0.07295611655869606,False,STX18-AS1,lncRNA
MIR4784,2.8046035986678786,3.3762081575284664,0.9999886072963426,0.5813087365593881,-0.5716045588605878,-3.493323371811086,0.0015695832258664794,0.07295611655869606,False,MIR4784,miRNA
LINC02546,0.08365449007722094,0.0,0.31293979303924296,0.0,0.08365449007722094,3.218936922090879,0.0015900262562147354,0.07335479340238428,False,LINC02546,lncRNA
MIR18A,0.08339310886717928,0.0,0.3128656933069513,0.0,0.08339310886717928,3.20963924497295,0.0016387641988318503,0.07504326131243333,False,MIR18A,miRNA
FAM86HP,5.683699119969477,6.2723149853436135,0.9017499926261693,0.6153335032033886,-0.5886158653741367,-3.5251756863814143,0.0016646787039512783,0.07566943932225591,False,FAM86HP,transcribed_unprocessed_pseudogene
LINC01757,0.0813499298460701,0.0,0.3064525557335814,0.0,0.0813499298460701,3.1965237551198133,0.0017098799224885832,0.07715677139287899,False,LINC01757,lncRNA
HOXD-AS2,0.0918640461299442,0.0,0.3464611747227952,0.0,0.0918640461299442,3.19282413317835,0.0017304528379965102,0.07751927133691613,False,HOXD-AS2,lncRNA
MIR656,1.7217076459981562,2.5708574263913517,1.1864714182425864,0.9019201859505201,-0.8491497803931956,-3.5393850658109938,0.0017475352967509746,0.07772131801809011,False,MIR656,miRNA
