gene_id,mean_disease,mean_control,log2FC,pvalue,padj,gene_name,biotype
ENSG00000229017,0.8890864588901071,1.8706345989409103,-0.9815481400508033,4.319222024484759e-08,2.2034202642050105e-05,LINC01277,lncRNA
ENSG00000232587,1.6050953378331685,2.2924532980554697,-0.6873579602223012,6.676402519723013e-08,2.9988750989751175e-05,EEF1A1P3,processed_pseudogene
ENSG00000199568,2.474887274077948,3.548722669199657,-1.073835395121709,6.718286416074193e-08,2.9988750989751175e-05,RNU5A-1,snRNA
ENSG00000244327,0.9880828929222206,1.7473676018228972,-0.7592847089006766,9.29885377587425e-08,3.906612568664346e-05,,lncRNA
ENSG00000267784,1.976576163349874,2.9170484418091345,-0.9404722784592605,1.0725256038845998e-07,4.031567296286216e-05,,lncRNA
ENSG00000251595,2.0704744169206433,3.49177927569433,-1.421304858773687,1.0547266038329894e-07,4.031567296286216e-05,ABCA11P,transcribed_processed_pseudogene
ENSG00000225569,0.8746695082481956,1.4729864243718942,-0.5983169161236986,1.2961845463621557e-07,4.207886377326598e-05,CCT4P2,processed_pseudogene
ENSG00000285571,2.202083610883545,3.2492572396125623,-1.0471736287290172,1.2647150904321336e-07,4.207886377326598e-05,,lncRNA
ENSG00000287925,1.2699397961281151,2.19688602993082,-0.926946233802705,1.1895407903139699e-07,4.207886377326598e-05,,lncRNA
ENSG00000243915,2.188851042830177,3.109984948785103,-0.921133905954926,1.5035280043207422e-07,4.668781307329887e-05,THAP12P2,processed_pseudogene
ENSG00000229920,1.5002658271044598,2.335647841198257,-0.8353820140937973,1.7697900811519673e-07,5.2666003164947295e-05,RPS4XP5,transcribed_processed_pseudogene
ENSG00000230133,2.3056945557036426,3.4236183838848024,-1.1179238281811599,2.0852485071998217e-07,5.3292108678215655e-05,LINC01721,lncRNA
ENSG00000287583,1.2294575576840474,2.467445584605777,-1.2379880269217294,2.0893013763512158e-07,5.3292108678215655e-05,,lncRNA
ENSG00000271911,0.7440417715310544,1.4253703525263215,-0.681328580995267,1.8927427736237235e-07,5.3292108678215655e-05,,lncRNA
ENSG00000287312,1.4270909448351934,2.2833424041701376,-0.8562514593349442,2.0385640575604214e-07,5.3292108678215655e-05,,lncRNA
ENSG00000235706,3.455194250242721,4.116770173804762,-0.6615759235620415,2.460571224549568e-07,6.059792995080349e-05,DICER1-AS1,lncRNA
ENSG00000251022,3.8170915059540063,4.886150582894159,-1.0690590769401531,2.7793938861542244e-07,6.403364882230152e-05,THAP9-AS1,lncRNA
ENSG00000272871,1.2277437284367028,2.0803547316948836,-0.8526110032581808,2.7203299879374754e-07,6.403364882230152e-05,,lncRNA
ENSG00000228794,5.137158757357089,5.855176153269495,-0.7180173959124057,3.1719318172029887e-07,7.07935532451992e-05,LINC01128,lncRNA
ENSG00000272108,1.4066462399659703,1.9507434606154865,-0.5440972206495163,3.327590460955321e-07,7.20171244610391e-05,,lncRNA
ENSG00000267662,1.1410624756769365,1.842410924906388,-0.7013484492294515,3.5397941267056865e-07,7.207068905299184e-05,TSHZ3-AS1,lncRNA
ENSG00000272800,1.268370106019506,1.860655098839395,-0.592284992819889,3.6221162891258984e-07,7.207068905299184e-05,,lncRNA
ENSG00000234473,1.1880514580615333,2.413323018044032,-1.2252715599824988,3.6327986641104815e-07,7.207068905299184e-05,ZNF101P2,processed_pseudogene
ENSG00000234383,1.5901690203279832,2.3750437887241818,-0.7848747683961985,3.757169035889518e-07,7.252351690357551e-05,CTBP2P8,processed_pseudogene
ENSG00000231697,1.0530868907100113,1.7527946397293415,-0.6997077490193302,4.0872463791252756e-07,7.335460987626034e-05,NANOGP5,transcribed_processed_pseudogene
ENSG00000287243,2.4358831870292295,3.7545807472827253,-1.3186975602534958,3.956641994040666e-07,7.335460987626034e-05,THCAT155,lncRNA
ENSG00000281591,0.5602879123260374,1.1748792381931754,-0.614591325867138,4.211059934089434e-07,7.335460987626034e-05,DBET,lncRNA
ENSG00000250770,3.189424157661974,4.285206509809404,-1.0957823521474301,4.184145550034657e-07,7.335460987626034e-05,,transcribed_unprocessed_pseudogene
ENSG00000259358,2.317929039838833,3.3901490438057005,-1.0722200039668675,4.5209001986457054e-07,7.50968312127336e-05,DEPDC1P1,processed_pseudogene
ENSG00000259826,1.2522354812052972,1.8553038963209079,-0.6030684151156107,4.5213718036229977e-07,7.50968312127336e-05,CDK13-DT,lncRNA
ENSG00000254629,1.2807096085644403,2.0233797716170208,-0.7426701630525805,4.797955244217889e-07,7.787953716864582e-05,,processed_pseudogene
