train_disease,test_disease,auc,confidence_interval_lower,confidence_interval_upper,n_train_samples,n_test_samples
alzheimers,als,0.5007099391480729,0.4841480730223124,0.5130121703853955,220,162
als,alzheimers,0.45402590090090095,0.397508445945946,0.5308159722222221,162,220
